uuid	domain	name	duration	label	text	k8	k32	k8_hi	p_estar	estar_frac	only_window	why
013d8ff1-a748-410b-9ef8-5049e66b919d	Figure Skating	Triple Flip	16.016000000000002	unsolvable	0.2998	0.4058	0.3351	0.3115	0.3242	0.2	False	最好的窗只到 p_gt=0.32（<0.6），给了证据也解不了
01655f01-94a4-4a0c-a201-65cf65bea20a	Neurological Abnormalities	Areflexia	5.0	already_solvable	0.2563	0.8655	0.9365		None	None	False	粗观测 p_gt=0.87（N=0 对照）
01727300-32d9-4cf2-a462-a8bb2d129d5e	Cooking	Knockback	4.004	unsolvable	0.045	0.1455	0.0877	0.1396	0.0832	0.2	False	最好的窗只到 p_gt=0.08（<0.6），给了证据也解不了
017a4228-c34f-42c0-b157-c13eca028c39	Tap Dance	Over the Top	9.125	borderline	0.6803	0.6665	0.8066		0.6936	0.1	False	粗观测 0.67 → E* 窗 0.69，提升 +0.03 不足 0.25
01899db7-94f1-4a95-8cf3-134d3e07dfcf	Gardening	Mulching	5.005	already_solvable	0.5548	0.9838	0.9849	0.9776	None	None	False	粗观测 p_gt=0.98（N=0 对照）
018b0b08-2daa-41c7-ac31-fb1e43c254d5	Yo-yo	Spirit Bomb	6.8068	unsolvable	0.2389	0.3574	0.3052	0.3061	0.3074	0.1	False	最好的窗只到 p_gt=0.31（<0.6），给了证据也解不了
018c3ec1-ef59-41e6-a652-25f796160631	Tap Dance	Brush	3.003	unsolvable	0.176	0.091	0.1278		0.1138	0.1	False	最好的窗只到 p_gt=0.11（<0.6），给了证据也解不了
019cc9ab-1ac7-47f8-9dc2-5981b76f7894	Hairstyling	Slide Cutting	3.2	unsolvable	0.224	0.2762	0.2862		0.2951	0.1	False	最好的窗只到 p_gt=0.30（<0.6），给了证据也解不了
01a0acd0-5904-49fc-afd8-e6d539ae8692	Figure Skating	Death Spiral	7.007000000000001	borderline	0.377	0.5006	0.3515	0.534	0.6228	0.1	False	粗观测 0.50 → E* 窗 0.62，提升 +0.12 不足 0.25
01a2142e-9694-4105-a8f1-f0cb8d04c18b	Ballet	Cabriole	3.5035	borderline	0.143	0.5841	0.4858	0.5701	0.8132	0.1	False	粗观测 0.58 → E* 窗 0.81，提升 +0.23 不足 0.25
01b46e8d-5f35-44f6-8ff2-60ebbfdb0ca3	Cooking	Laminating	23.7	already_solvable	0.2203	0.9497	0.9712	0.9402	None	None	False	粗观测 p_gt=0.95（N=0 对照）
01bb2b90-8a51-4f8c-a271-e45d3b3f810d	Figure Skating	Double Axel	8.0	unsolvable	0.2062	0.1562	0.1242	0.1502	0.2175	0.1	False	最好的窗只到 p_gt=0.22（<0.6），给了证据也解不了
01d0ba27-e77c-485b-8917-42b9e4442a75	Figure Skating	Combination Spin	16.005683480295875	borderline	0.2817	0.5356	0.2999		0.6115	0.1	False	粗观测 0.54 → E* 窗 0.61，提升 +0.08 不足 0.25
01d5a2bd-605d-481c-9fa0-4b07c2a8495b	Pottery	Spiral Wedging	101.0	already_solvable	0.2209	0.9468	0.9842	0.9716	None	None	False	粗观测 p_gt=0.95（N=0 对照）
01d661b0-b3ec-45fa-898e-c2c6ff8aa07e	Gardening	Hand Pollination	11.3	already_solvable	0.4625	0.9662	0.8998	0.9874	None	None	False	粗观测 p_gt=0.97（N=0 对照）
01df8fe9-1458-4902-8a3b-1050f816abbe	Cricket	Run Out	10.72	borderline	0.223	0.3973	0.4502	0.4966	0.6224	0.1	False	粗观测 0.40 → E* 窗 0.62，提升 +0.23 不足 0.25
01e1a46d-a214-43aa-8937-77614a5816fd	Skateboarding	Drop In	5.005	text_shortcut	0.7418	0.5203	0.5408	0.3519	None	None	False	纯文本 p_gt=0.74，不看视频就能答
01e52f38-d5c1-470d-8471-38e1e26228d6	Gym	Leg Press	10.226883333333333	already_solvable	0.0843	0.9913	0.9859	0.9738	None	None	False	粗观测 p_gt=0.99（N=0 对照）
0201cd34-e86e-48ea-9c39-a374e7a18120	Basketball	Between-the-Legs Dunk	4.0040000000000004	unsolvable	0.3343	0.2666	0.2887	0.3171	0.4007	0.2	False	最好的窗只到 p_gt=0.40（<0.6），给了证据也解不了
02044290-676d-4416-91d6-1a670856e0ff	Skateboarding	Fakie Big Flip	3.4	unsolvable	0.3576	0.3187	0.3535	0.3055	0.3501	0.3	False	最好的窗只到 p_gt=0.35（<0.6），给了证据也解不了
02095156-b0ef-43b4-8ebf-360707203b19	Woodworking / Whittling	Pull Cut	7.007000000000001	unsolvable	0.4011	0.5456	0.4968	0.4683	0.4243	0.1	False	最好的窗只到 p_gt=0.42（<0.6），给了证据也解不了
02112da3-b26a-4f51-99bb-7da86e189d5b	Juggling	Multiplex	4.0040000000000004	borderline	0.3265	0.5904	0.6036	0.6059	0.7268	0.1	False	粗观测 0.59 → E* 窗 0.73，提升 +0.14 不足 0.25
0247c7f4-8809-476d-b59f-17ad1348fae0	Tattooing	Color Packing	3.0	unsolvable	0.1237	0.0679	0.0543	0.0991	0.0674	0.1	False	最好的窗只到 p_gt=0.07（<0.6），给了证据也解不了
02517c8a-9f04-49ca-b413-20c6185d0b0d	Parkour	Lazy Vault	3.5035000000000003	unsolvable	0.2107	0.4611	0.4958	0.4827	0.5022	0.1	False	最好的窗只到 p_gt=0.50（<0.6），给了证据也解不了
02536410-7c8b-4c12-a484-4d97882ebcaa	Knots	Constrictor Knot	23.990633333333335	unsolvable	0.1686	0.232	0.2193	0.2154	0.3016	0.3	False	最好的窗只到 p_gt=0.30（<0.6），给了证据也解不了
0256d9bf-f914-4604-a203-071ca6dfa33f	Figure Skating	Three Turn	2.2022	unsolvable	0.1854	0.2494	0.2295	0.2353	0.1976	0.1	False	最好的窗只到 p_gt=0.20（<0.6），给了证据也解不了
0259b562-8c9c-4502-be78-4b164ff556be	Ice Hockey	Hip Check	3.003	unsolvable	0.5332	0.2508	0.2126	0.3382	0.5238	0.1	False	最好的窗只到 p_gt=0.52（<0.6），给了证据也解不了
025c96d6-8e6a-400c-84b2-118453cb56a3	Bouldering	Knee Bar	4.0	unsolvable	0.0921	0.1785	0.1519		0.3176	0.3	False	最好的窗只到 p_gt=0.32（<0.6），给了证据也解不了
0269246f-25bb-45e5-81fe-73ba8fffef98	Suturing	Horizontal Mattress Suture	211.01080000000002	unsolvable	0.1981	0.2287	0.1926	0.1858	0.338	0.2	False	最好的窗只到 p_gt=0.34（<0.6），给了证据也解不了
028b3264-3adb-4bd6-b9dd-860848a4e453	Pen Spinning	Sonic	2.5	unsolvable	0.1987	0.1476	0.1525	0.1274	0.1824	0.3	False	最好的窗只到 p_gt=0.18（<0.6），给了证据也解不了
028dc6a7-e866-4e30-acc7-5f8e59296915	Cheerleading	Liberty	7.0	unsolvable	0.2979	0.3041	0.2639		0.2916	0.1	False	最好的窗只到 p_gt=0.29（<0.6），给了证据也解不了
029118f2-d436-4d18-b87a-3b37de9a9b90	Yo-yo	Milk the Cow	6.006	unsolvable	0.298	0.146	0.1234	0.1687	0.1756	0.1	False	最好的窗只到 p_gt=0.18（<0.6），给了证据也解不了
029cb47f-8a83-4f9d-89ea-037437adf7d1	Neurological Assessments	Tandem Gait (Heel to Toe)	16.0	already_solvable	0.186	0.9277	0.9732	0.9308	None	None	False	粗观测 p_gt=0.93（N=0 对照）
02a57b80-1cfa-4eba-89a4-9b65af7ca8ce	Break Dance	Head Spin	3.0	borderline	0.335	0.5118	0.5907		0.7196	0.1	False	粗观测 0.51 → E* 窗 0.72，提升 +0.21 不足 0.25
02ab07fb-f555-440c-89ab-e8d669abcccb	Pottery	Opening the Clay	12.5	unsolvable	0.1245	0.3441	0.3183		0.4964	0.1	False	最好的窗只到 p_gt=0.50（<0.6），给了证据也解不了
02ab088f-5409-4eec-a6ce-9d97af38f860	Coffee	Swirling	2.002	already_solvable	0.0505	0.7994	0.8744	0.8104	None	None	False	粗观测 p_gt=0.80（N=0 对照）
02ad21c3-8874-43fa-ae15-1fac34e3b5a2	American Football	Trap	8.933333333333334	unsolvable	0.1924	0.3145	0.2581	0.254	0.4856	0.2	False	最好的窗只到 p_gt=0.49（<0.6），给了证据也解不了
02b2cea0-887e-4297-ad50-5da08afb1dce	Tennis	Squash Shot	4.0	unsolvable	0.0949	0.1001	0.1143	0.1589	0.1484	0.2	False	最好的窗只到 p_gt=0.15（<0.6），给了证据也解不了
02b39c36-e5f9-414d-b855-19128c3a6a92	Bouldering	Deadpoint	2.7083333333333335	unsolvable	0.1799	0.091	0.1023	0.0685	0.1621	0.2	False	最好的窗只到 p_gt=0.16（<0.6），给了证据也解不了
02b8d51f-c42d-4233-9085-c125420e62db	Basketball	Behind-the-Back Pass	4.0	unsolvable	0.4475	0.3169	0.3084		0.4028	0.2	False	最好的窗只到 p_gt=0.40（<0.6），给了证据也解不了
02bc30b2-8bbd-4202-9342-00251650f8ad	Tap Dance	Riffle	2.5025	unsolvable	0.0596	0.0355	0.0294	0.0429	0.0466	0.2	False	最好的窗只到 p_gt=0.05（<0.6），给了证据也解不了
02de3c88-a69c-4c48-bc99-fa14c28bc28e	Tennis	Behind-the-Back	2.9696333333333333	unsolvable	0.1384	0.0622	0.0283		0.0747	0.1	False	最好的窗只到 p_gt=0.07（<0.6），给了证据也解不了
02fb0f6f-e1ac-45cc-bdbd-e49e48c9f229	Break Dance	Kip Up	2.002	unsolvable	0.2773	0.3753	0.4837	0.4519	0.3993	0.1	False	最好的窗只到 p_gt=0.40（<0.6），给了证据也解不了
02fe3aa3-d91c-46e4-b6ba-b787c643c502	Skateboarding	Laser Flip	2.4024024024024024	unsolvable	0.1421	0.1272	0.1172		0.1804	0.2	False	最好的窗只到 p_gt=0.18（<0.6），给了证据也解不了
03038de6-5e23-4c76-b3d6-f3178185dc80	Basketball	Corner Three	3.0	unsolvable	0.2208	0.0052	0.0085		0.0069	0.1	False	最好的窗只到 p_gt=0.01（<0.6），给了证据也解不了
0304365f-9b86-414b-ba93-ca8d4ab71e6b	Ice Hockey	Delay of Game	5.9726333333333335	unsolvable	0.0382	0.0887	0.1921	0.1466	0.4227	0.1	False	最好的窗只到 p_gt=0.42（<0.6），给了证据也解不了
031a20cd-1e23-4243-8ddb-ab478f6b166a	Knots	Rolling Hitch	16.5	unsolvable	0.1728	0.0733	0.0575	0.0734	0.0891	0.1	False	最好的窗只到 p_gt=0.09（<0.6），给了证据也解不了
033a8ca2-4189-45dc-905d-d4f015f35ca6	Crochet	Bobble Stitch	49.4	unsolvable	0.1938	0.3646	0.3012	0.2912	0.3575	0.1	False	最好的窗只到 p_gt=0.36（<0.6），给了证据也解不了
033f044b-7bac-4a4f-8b67-173d292b6967	Painting	Stippling	2.0	unsolvable	0.3164	0.5128	0.4219	0.2565	0.5006	0.2	False	最好的窗只到 p_gt=0.50（<0.6），给了证据也解不了
034b1a50-cd0b-421f-b9d8-9701a10e5bc8	Ballet	Développé	3.0	already_solvable	0.463	0.7197	0.762	0.7004	None	None	False	粗观测 p_gt=0.72（N=0 对照）
0357a9e5-a503-410e-b828-a4243fef871c	Hand Sewing / Embroidery	Double-fold Hem	45.011633333333336	unsolvable	0.0189	0.3597	0.437	0.3912	0.4432	0.1	False	最好的窗只到 p_gt=0.44（<0.6），给了证据也解不了
0366fe50-7de7-4b5a-8bd1-af8fa3013e66	Parkour	Aerial	2.52	unsolvable	0.2235	0.1084	0.0881	0.0563	0.2619	0.1	False	最好的窗只到 p_gt=0.26（<0.6），给了证据也解不了
0367d739-3a76-4d25-8452-b58424421cc1	Crochet	Decrease / Single Crochet Decrease	20.0	unsolvable	0.3803	0.2082	0.1322	0.1977	0.1819	0.2	False	最好的窗只到 p_gt=0.18（<0.6），给了证据也解不了
036975ea-c469-404d-a129-2bbbc0ab0d22	Yo-yo	Electric Fan	21.980291666666666	unsolvable	0.1001	0.1584	0.2095	0.1651	0.2356	0.2	False	最好的窗只到 p_gt=0.24（<0.6），给了证据也解不了
03719652-1e54-4997-9e95-60e3a5332ca5	Skateboarding	Smith Grind	3.5035000000000003	unsolvable	0.3649	0.4244	0.3561	0.426	0.4769	0.1	False	最好的窗只到 p_gt=0.48（<0.6），给了证据也解不了
037bdc28-dc09-4df1-9fae-ac5ea3d227db	Cooking	Poke Test	6.965291666666666	already_solvable	0.2849	0.9678	0.9725	0.971	None	None	False	粗观测 p_gt=0.97（N=0 对照）
0381ecd5-ea0f-4688-b7e9-193fa8e67641	Skateboarding	5-0 Grind	3.003	borderline	0.3429	0.4845	0.5511	0.6437	0.6322	0.3	False	粗观测 0.48 → E* 窗 0.63，提升 +0.15 不足 0.25
0386d539-9588-479d-af16-6e3ee5b397c5	Tap Dance	Toe Stand	2.002002002002002	unsolvable	0.4031	0.2611	0.2708	0.3749	0.2471	0.1	False	最好的窗只到 p_gt=0.25（<0.6），给了证据也解不了
038acf71-726e-4fe9-9555-14940158c520	Knots	Diamond Knot	197.0	unsolvable	0.2013	0.2774	0.2508	0.2848	0.2853	0.1	False	最好的窗只到 p_gt=0.29（<0.6），给了证据也解不了
03951c2d-fb23-4b59-9ed5-6e4088af3923	Hand Sewing / Embroidery	Quilter's Knot	51.017633333333336	borderline	0.0894	0.6617	0.5695	0.7162	0.8042	0.1	False	粗观测 0.66 → E* 窗 0.80，提升 +0.14 不足 0.25
03a7c027-7630-4fb6-93fc-94cdc90c176e	Juggling	Takeouts	2.7027	unsolvable	0.2804	0.2212	0.2149	0.2272	0.2856	0.1	False	最好的窗只到 p_gt=0.29（<0.6），给了证据也解不了
03b92521-180a-4530-9308-e26d99a23319	Skateboarding	Hardflip	4.783333333333333	already_solvable	0.2402	0.7147	0.7114	0.7869	None	None	False	粗观测 p_gt=0.71（N=0 对照）
03ba05ca-8793-4718-9dad-5ef56ae85b42	Yo-yo	Vertical Punches	2.0020000000000002	borderline	0.3496	0.4276	0.4706	0.4226	0.6761	0.1	False	粗观测 0.43 → E* 窗 0.68，提升 +0.25 不足 0.25
03bebaab-b371-4d42-b04d-91bd38e35e68	Bartending	Nest	2.3023000000000002	unsolvable	0.0597	0.0828	0.0406		0.1136	0.1	False	最好的窗只到 p_gt=0.11（<0.6），给了证据也解不了
03cad0dd-8a5a-4ac6-8f44-7a7cfffbe739	Basketball	Crossover	4.0	already_solvable	0.5728	0.7788	0.687	0.7675	None	None	False	粗观测 p_gt=0.78（N=0 对照）
03cb958d-411e-4f77-addb-e79d68078523	Gym	Chest Fly	6.006	borderline	0.0519	0.6091	0.4074	0.6036	0.6625	0.1	False	粗观测 0.61 → E* 窗 0.66，提升 +0.05 不足 0.25
03d5358d-8a65-48ac-aa3f-b7a528f8970d	Bouldering	Smearing	4.0	unsolvable	0.3517	0.2898	0.4233	0.3882	0.3859	0.2	False	最好的窗只到 p_gt=0.39（<0.6），给了证据也解不了
03e4536f-9900-4514-9b3c-a6397abae7f9	Ballet	Fondu	11.0	unsolvable	0.3412	0.2066	0.1645	0.2085	0.1657	0.2	False	最好的窗只到 p_gt=0.17（<0.6），给了证据也解不了
03ec3c45-4f15-4073-b161-6378fb2c034c	Bouldering	Palm Press	8.03448275862069	unsolvable	0.1873	0.2479	0.2065		0.3502	0.3	False	最好的窗只到 p_gt=0.35（<0.6），给了证据也解不了
03ed6c10-7206-41df-bec9-e3637b2c4869	Figure Skating	Triple Flip	8.8088	unsolvable	0.4103	0.3725	0.3611	0.3471	0.3828	0.1	False	最好的窗只到 p_gt=0.38（<0.6），给了证据也解不了
03f196fc-139c-41d5-9834-4f6842fd7325	Skateboarding	No Comply 180	3.6333333333333333	unsolvable	0.2628	0.1922	0.2302		0.227	0.1	False	最好的窗只到 p_gt=0.23（<0.6），给了证据也解不了
03f4167c-d1a3-42dc-82a5-183404b52de1	Gym	Dip	4.971633333333333	already_solvable	0.1865	0.9992	0.9987	0.9997	None	None	False	粗观测 p_gt=1.00（N=0 对照）
03f68394-052b-4a08-a27b-f09c13f65e5d	Ice Hockey	Slap Shot	2.6026000000000002	already_solvable	0.6096	0.9262	0.8688	0.9229	None	None	False	粗观测 p_gt=0.93（N=0 对照）
0404e944-5716-4634-90f4-6ce8bd584711	American Football	Trap	5.338666666666667	unsolvable	0.2348	0.3752	0.342	0.4232	0.3607	0.1	False	最好的窗只到 p_gt=0.36（<0.6），给了证据也解不了
041f9c5f-0b22-4173-b777-9394ba5fff6c	Parkour	Kash Vault	2.4024	unsolvable	0.084	0.0399	0.0642	0.0504	0.0737	0.2	False	最好的窗只到 p_gt=0.07（<0.6），给了证据也解不了
04221b07-499a-4ad1-a1af-6eb6fa8972ca	Gym	Dumbbell Shrug	4.0040000000000004	unsolvable	0.3708	0.5121	0.5105		0.5307	0.1	False	最好的窗只到 p_gt=0.53（<0.6），给了证据也解不了
042250b4-6df9-42d1-8f44-2048d39e3459	Cheerleading	Pancake	5.0	unsolvable	0.3199	0.1452	0.157		0.2386	0.1	False	最好的窗只到 p_gt=0.24（<0.6），给了证据也解不了
04287835-75a6-4709-8b57-94458b42c0ef	Knots	Clove Hitch	38.0	unsolvable	0.5239	0.3865	0.3099	0.3732	0.4653	0.2	False	最好的窗只到 p_gt=0.47（<0.6），给了证据也解不了
04322fb8-2c2d-445d-83cd-3ef02a5eb536	Ice Hockey	Drop Pass	4.0040000000000004	unsolvable	0.1436	0.0588	0.0666	0.0476	0.1482	0.3	False	最好的窗只到 p_gt=0.15（<0.6），给了证据也解不了
044551b6-a549-4e62-a9c5-c30fe85623d0	Hand Sewing / Embroidery	Flat-felled Seam	110.0	already_solvable	0.0067	0.8637	0.8822	0.9073	None	None	False	粗观测 p_gt=0.86（N=0 对照）
04535232-c315-4697-a2ed-8218cd7c5342	American Football	Bootleg	15.0	borderline	0.3667	0.6647	0.7861		0.9071	0.1	False	粗观测 0.66 → E* 窗 0.91，提升 +0.24 不足 0.25
0469cd05-3105-47c9-8fce-ee6508ad8247	Spa Massage	Ischemic Compression	30.997633333333333	unsolvable	0.151	0.6724	0.5957	0.5906	0.5956	0.2	False	最好的窗只到 p_gt=0.60（<0.6），给了证据也解不了
04776104-5ae0-4fb3-a54d-8c41644cb4a6	Salsa	Setenta	18.485133333333334	unsolvable	0.2508	0.2154	0.1882	0.1924	0.2662	0.1	False	最好的窗只到 p_gt=0.27（<0.6），给了证据也解不了
047d3384-c4dc-40c1-89a5-ce184f632dbf	Hand Sewing / Embroidery	Buttonhole Stitch	11.0	unsolvable	0.3096	0.1431	0.12	0.1452	0.1737	0.1	False	最好的窗只到 p_gt=0.17（<0.6），给了证据也解不了
04960c4f-0c65-4bf1-b462-5a910427e9ce	Yo-yo	Electric Fan	8.8088	unsolvable	0.0992	0.2188	0.2529	0.2426	0.326	0.2	False	最好的窗只到 p_gt=0.33（<0.6），给了证据也解不了
04b42a56-8ff7-41b2-986c-5a9e2c563367	Yo-yo	Slack Trapeze	7.007000000000001	unsolvable	0.0941	0.1371	0.0942		0.2109	0.1	False	最好的窗只到 p_gt=0.21（<0.6），给了证据也解不了
04b81bef-009a-4ddb-a7a9-2bad4baa40d1	Bouldering	Heel Hook	3.0	unsolvable	0.2075	0.4013	0.4782	0.3103	0.4586	0.3	False	最好的窗只到 p_gt=0.46（<0.6），给了证据也解不了
04bedfa4-7c52-4b52-a909-40df067d307c	American Football	ISO	14.133333333333333	unsolvable	0.294	0.2395	0.264	0.2054	0.3012	0.3	False	最好的窗只到 p_gt=0.30（<0.6），给了证据也解不了
04c08527-4beb-436c-a75e-d1b4de719ed8	Coffee	Backflushing	20.32	unsolvable	0.1033	0.2442	0.1389		0.582	0.1	False	最好的窗只到 p_gt=0.58（<0.6），给了证据也解不了
04c11717-6caf-4605-9ad9-960cd006e504	Break Dance	Deadman	2.9612916666666664	unsolvable	0.192	0.3978	0.4923	0.4983	0.4756	0.1	False	最好的窗只到 p_gt=0.48（<0.6），给了证据也解不了
04c7cdb8-c8bd-47f1-9120-a796111f6dbf	Juggling	Fake Columns	4.0	unsolvable	0.1907	0.2235	0.2081		0.3909	0.2	False	最好的窗只到 p_gt=0.39（<0.6），给了证据也解不了
04f282a0-7f54-48ec-a4e0-0a304904e8b7	Yo-yo	White Buddha	26.234541666666665	unsolvable	0.171	0.1343	0.1511	0.1788	0.1934	0.2	False	最好的窗只到 p_gt=0.19（<0.6），给了证据也解不了
04faf2c8-51d0-45e0-89e3-02dc9334a8cc	Neurological Abnormalities	Myoclonic Seizure	3.9706333333333332	already_solvable	0.2466	0.9401	0.8473	0.9281	None	None	False	粗观测 p_gt=0.94（N=0 对照）
0512a3f2-941f-45cc-a02b-4597bd14fc6a	Neurological Abnormalities	Absence Seizure	14.005571030640668	borderline	0.1109	0.5341	0.5406		0.7238	0.1	False	粗观测 0.53 → E* 窗 0.72，提升 +0.19 不足 0.25
0517e1ba-a724-4a96-8b02-e04d1017f71a	Neurological Abnormalities	Dystonic Tremor	3.9622916666666663	unsolvable	0.2113	0.4002	0.3919	0.4081	0.4792	0.1	False	最好的窗只到 p_gt=0.48（<0.6），给了证据也解不了
05230870-c1ec-41a7-87f7-5a2b05c547e6	Crochet	Chain	14.0	unsolvable	0.3385	0.3755	0.2487		0.379	0.1	False	最好的窗只到 p_gt=0.38（<0.6），给了证据也解不了
052d599c-2902-4744-bec5-fb1d180aae3b	Cheerleading	Scorpion	15.999315825482869	unsolvable	0.2849	0.4479	0.4663	0.4088	0.4451	0.1	False	最好的窗只到 p_gt=0.45（<0.6），给了证据也解不了
052e49d8-674a-4fc8-a083-7ec6069712ac	Cricket	Slower Ball	3.8333333333333335	unsolvable	0.1095	0.1017	0.142	0.1202	0.1409	0.1	False	最好的窗只到 p_gt=0.14（<0.6），给了证据也解不了
053408fe-4bd4-4787-be73-34997b097a62	Knots	Midshipman's Hitch	36.0	borderline	0.3916	0.6303	0.6479	0.609	0.726	0.1	False	粗观测 0.63 → E* 窗 0.73，提升 +0.10 不足 0.25
0539a82d-7c7c-474a-9f0c-9c604c6efae5	Knots	Single Sheet Bend	14.708333333333334	unsolvable	0.3363	0.2511	0.1909	0.2545	0.1778	0.1	False	最好的窗只到 p_gt=0.18（<0.6），给了证据也解不了
0543442b-b5bb-4d6f-a7b9-a9f9ccb46c86	Bartending	Shaking	9.008999999999999	already_solvable	0.6839	0.9973	0.9979	0.9975	None	None	False	粗观测 p_gt=1.00（N=0 对照）
05645735-ed75-42a7-a51e-eb3c183ef5e9	Calligraphy	Downstroke	1.9602916666666665	unsolvable	0.4287	0.192	0.4579	0.2702	0.1434	0.1	False	最好的窗只到 p_gt=0.14（<0.6），给了证据也解不了
05671564-8295-4dc7-bfb2-f61147ce4929	Woodworking / Whittling	Stop Cut	35.0	unsolvable	0.1577	0.1145	0.158	0.1074	0.2951	0.1	False	最好的窗只到 p_gt=0.30（<0.6），给了证据也解不了
057f1d43-0c5a-4acc-ab72-e9e194be1b50	Ballet	Grand Battement	3.0	unsolvable	0.1903	0.2407	0.2335		0.2968	0.3	False	最好的窗只到 p_gt=0.30（<0.6），给了证据也解不了
